            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	moduleDeclarations
         (null)	              0	         (null)	         (null)	              0	        program
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	   otherModules
            <<<	              2	      DRIVERDEF	         (null)	              1	      DRIVERDEF
         (null)	              0	         (null)	         (null)	              0	   driverModule
         driver	              2	         DRIVER	         (null)	              1	         DRIVER
        program	              2	        PROGRAM	         (null)	              1	        PROGRAM
            >>>	              2	   DRIVERENDDEF	         (null)	              1	   DRIVERENDDEF
          start	              3	          START	         (null)	              1	          START
         (null)	              0	         (null)	         (null)	              0	      moduleDef
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	     statements
            end	              5	            END	         (null)	              1	            END
             <<	              6	            DEF	         (null)	              1	            DEF
         (null)	              0	         (null)	         (null)	              0	         module
         module	              6	         MODULE	         (null)	              1	         MODULE
          empty	              6	             ID	         (null)	              1	             ID
             >>	              6	         ENDDEF	         (null)	              1	         ENDDEF
          takes	              7	          TAKES	         (null)	              1	          TAKES
          input	              7	          INPUT	         (null)	              1	          INPUT
              [	              7	           SQBO	         (null)	              1	           SQBO
              a	              7	             ID	         (null)	              1	             ID
         (null)	              0	         (null)	         (null)	              0	    input_plist
              :	              7	          COLON	         (null)	              1	          COLON
        boolean	              7	        BOOLEAN	         (null)	              1	        BOOLEAN
         (null)	              0	         (null)	         (null)	              0	       datatype
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	 input_plist_lr
              ]	              7	           SQBC	         (null)	              1	           SQBC
              ;	              7	        SEMICOL	         (null)	              1	        SEMICOL
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	            ret
          start	              8	          START	         (null)	              1	          START
         (null)	              0	         (null)	         (null)	              0	      moduleDef
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	     statements
            end	             10	            END	         (null)	              1	            END
         (null)	              0	         (null)	         (null)	              0	   otherModules
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	   otherModules
