         LEXEME	        LINE_NO	       TOKENAME	 VALUE (if num)	         PARENT	       IS LEAF?	    NODE SYMBOL

            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	moduleDeclarations
         (null)	              0	         (null)	         (null)	              0	        program
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	   otherModules
            <<<	              2	         (null)	      DRIVERDEF	              1	      DRIVERDEF
         (null)	              0	         (null)	         (null)	              0	   driverModule
         driver	              2	         (null)	         DRIVER	              1	         DRIVER
        program	              2	         (null)	        PROGRAM	              1	        PROGRAM
            >>>	              2	         (null)	   DRIVERENDDEF	              1	   DRIVERENDDEF
          start	              3	         (null)	          START	              1	          START
         (null)	              0	         (null)	         (null)	              0	      moduleDef
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	     statements
            end	              5	         (null)	            END	              1	            END
             <<	              6	         (null)	            DEF	              1	            DEF
         (null)	              0	         (null)	         (null)	              0	         module
         module	              6	         (null)	         MODULE	              1	         MODULE
          empty	              6	         (null)	             ID	              1	             ID
             >>	              6	         (null)	         ENDDEF	              1	         ENDDEF
          takes	              7	         (null)	          TAKES	              1	          TAKES
          input	              7	         (null)	          INPUT	              1	          INPUT
              [	              7	         (null)	           SQBO	              1	           SQBO
              a	              7	         (null)	             ID	              1	             ID
         (null)	              0	         (null)	         (null)	              0	    input_plist
              :	              7	         (null)	          COLON	              1	          COLON
        boolean	              7	         (null)	        BOOLEAN	              1	        BOOLEAN
         (null)	              0	         (null)	         (null)	              0	       datatype
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	 input_plist_lr
              ]	              7	         (null)	           SQBC	              1	           SQBC
              ;	              7	         (null)	        SEMICOL	              1	        SEMICOL
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	            ret
          start	              8	         (null)	          START	              1	          START
         (null)	              0	         (null)	         (null)	              0	      moduleDef
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	     statements
            end	             10	         (null)	            END	              1	            END
         (null)	              0	         (null)	         (null)	              0	   otherModules
            EPS	              0	         (null)	            EPS	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	   otherModules
