            <<<	              2	      DRIVERDEF	         (null)	              1	      DRIVERDEF
         (null)	              0	         (null)	         (null)	              0	moduleDeclarations
         driver	              2	         DRIVER	         (null)	              1	         DRIVER
        program	              2	        PROGRAM	         (null)	              1	        PROGRAM
            >>>	              2	   DRIVERENDDEF	         (null)	              1	   DRIVERENDDEF
          start	              3	          START	         (null)	              1	          START
         (null)	              0	         (null)	         (null)	              0	      moduleDef
            end	              5	            END	         (null)	              1	            END
             <<	              6	            DEF	         (null)	              1	            DEF
         (null)	              0	         (null)	         (null)	              0	         module
         module	              6	         MODULE	         (null)	              1	         MODULE
          empty	              6	             ID	         (null)	              1	             ID
             >>	              6	         ENDDEF	         (null)	              1	         ENDDEF
          takes	              7	          TAKES	         (null)	              1	          TAKES
          input	              7	          INPUT	         (null)	              1	          INPUT
              [	              7	           SQBO	         (null)	              1	           SQBO
              a	              7	             ID	         (null)	              1	             ID
         (null)	              0	         (null)	         (null)	              0	    input_plist
              :	              7	          COLON	         (null)	              1	          COLON
        boolean	              7	        BOOLEAN	         (null)	              1	        BOOLEAN
         (null)	              0	         (null)	         (null)	              0	       datatype
              ]	              7	           SQBC	         (null)	              1	           SQBC
              ;	              7	        SEMICOL	         (null)	              1	        SEMICOL
          start	              8	          START	         (null)	              1	          START
         (null)	              0	         (null)	         (null)	              0	        SEMICOL
            end	             10	            END	         (null)	              1	            END
         (null)	              0	         (null)	         (null)	              0	            END
         (null)	              0	         (null)	         (null)	              0	            ret
         (null)	              0	         (null)	         (null)	              0	      moduleDef
         (null)	              0	         (null)	         (null)	              0	            END
         (null)	              0	         (null)	         (null)	              0	   otherModules
         (null)	              0	         (null)	         (null)	              0	        program
         (null)	              0	         (null)	         (null)	              0	   otherModules
         (null)	              0	         (null)	         (null)	              0	   driverModule
         (null)	              0	         (null)	         (null)	              0	   otherModules
