        declare	              1	        DECLARE	         (null)	              1	        DECLARE
         (null)	              0	         (null)	         (null)	              0	moduleDeclaration
         module	              1	         MODULE	         (null)	              1	         MODULE
        readArr	              1	             ID	         (null)	              1	             ID
              ;	              1	        SEMICOL	         (null)	              1	        SEMICOL
         (null)	              0	         (null)	         (null)	              0	moduleDeclarations
            EPS	              0	            EPS	         (null)	              1	            EPS
         (null)	              0	         (null)	         (null)	              0	moduleDeclarations
         (null)	              0	         (null)	         (null)	              0	        program
             <<	              3	            DEF	         (null)	              1	            DEF
         (null)	              0	         (null)	         (null)	              0	         module
         module	              3	         MODULE	         (null)	              1	         MODULE
       arraySum	              3	             ID	         (null)	              1	             ID
             >>	              3	         ENDDEF	         (null)	              1	         ENDDEF
          takes	              4	          TAKES	         (null)	              1	          TAKES
          input	              4	          INPUT	         (null)	              1	          INPUT
              [	              4	           SQBO	         (null)	              1	           SQBO
           list	              4	             ID	         (null)	              1	             ID
         (null)	              0	         (null)	         (null)	              0	    input_plist
              :	              4	          COLON	         (null)	              1	          COLON
          array	              4	          ARRAY	         (null)	              1	          ARRAY
         (null)	              0	         (null)	         (null)	              0	       datatype
              [	              4	           SQBO	         (null)	              1	           SQBO
              1	              4	            NUM	              1	              1	            NUM
         (null)	              0	         (null)	         (null)	              0	       index_nt
         (null)	              0	         (null)	         (null)	              0	       rangeArr
             ..	              4	        RANGEOP	         (null)	              1	        RANGEOP
             15	              4	            NUM	             15	              1	            NUM
         (null)	              0	         (null)	         (null)	              0	       index_nt
              ]	              4	           SQBC	         (null)	              1	           SQBC
             of	              4	             OF	         (null)	              1	             OF
           real	              4	           REAL	         (null)	              1	           REAL
         (null)	              0	         (null)	         (null)	              0	           type
              ,	              4	          COMMA	         (null)	              1	          COMMA
         (null)	              0	         (null)	         (null)	              0	 input_plist_lr
              n	              4	             ID	         (null)	              1	             ID
              :	              4	          COLON	         (null)	              1	          COLON
        integer	              4	        INTEGER	         (null)	              1	        INTEGER
         (null)	              0	         (null)	         (null)	              0	       datatype
